COMPLETEPAPER-67_Q	Evidencing the crude oil corrosion by Raman spectroscopy
COMPLETEPAPER-2288431_Q	Neuromuscular adaptations to water-based concurrent training in postmenopausal women: effects of intrasession exercise sequence
COMPLETEPAPER-2288865_Q	TNF-&#945; depuration is a predictor of mortality in critically ill patients under continuous veno-venous hemodiafiltration treatment
COMPLETEPAPER-2291817_Q	Parasitology in an archaeological context: analysis of medieval burials in Nivelles
COMPLETEPAPER-2296341_Q	Timing and environmental cues associated with triggering of reproductive activity in Atlantic Forest marsupials
COMPLETEPAPER-2296758_Q	The effect of organic load and feed strategy on biohydrogen production in an AnSBBR treating glycerin-based wastewater
COMPLETEPAPER-2296759_Q	Biohydrogen Production in an AnSBBR Treating Glycerin-Based Wastewater: Effects of Organic Loading
COMPLETEPAPER-2298273_Q	Surgical Treatment of Type 2 Diabetes in Subjects with Mild Obesity: Mechanisms Underlying Metabolic Improvements
COMPLETEPAPER-2302055_Q	Prospects of using microalgae for biofuels production: Results of a Delphi study
COMPLETEPAPER-2303255_Q	Prevalence of asthma and allergic diseases in adolescents: nine-year follow-up study (2003-2012)
COMPLETEPAPER-2304135_Q	Nanostructured thin films based on TiO2 and/or SiC for use in photoelectrochemical cells: A review of the material characteristics
COMPLETEPAPER-2314590_Q	Mechanical properties and stem cell adhesion of injection-molded poly(ether ether ketone) and hydroxyapatite nanocomposites
COMPLETEPAPER-2319568_Q	Biogenic Amines as a Quality Index in Shredded Cooked Chicken Breast Fillet Stored Under Refrigeration and Modified Atmosphere
COMPLETEPAPER-2321501_Q	Study of Eu3+&#8594;Eu2+ reduction in BaAl2O4:Eu prepared in different gas atmospheres
COMPLETEPAPER-2321819_Q	New approaches on the analyses of thermolabile coffee diterpenes by gas chromatography and its relationship with cup quality
COMPLETEPAPER-2329289_Q	Analysis of air-water flow pattern in parallel microchannels: A visualization study
COMPLETEPAPER-2333063_Q	Electrochemical sensor based on bismuth-film electrode for voltammetric studies on vitamin B2 (riboflavin)
COMPLETEPAPER-2333088_Q	Evaluation of the gray gas model to compute radiative transfer in non-isothermal
COMPLETEPAPER-2341075_Q	Light touch modulates balance recovery following perturbation: from fast response to stance restabilization
COMPLETEPAPER-2343649_Q	In vitro photoautotrophic potential and ex vitro photosynthetic competence of Pfaffia glomerata (Spreng
COMPLETEPAPER-2344228_Q	Pre-gestational maternal obesity impairs endocrine pancreas in male F1 and F2 progeny
COMPLETEPAPER-2348846_Q	Delayed mutual information infers patterns of synaptic connectivity in a proprioceptive neural network
COMPLETEPAPER-2350267_Q	Electrocatalytic activities of cathode electrodes for water electrolysis using tetra-alkyl-ammonium-sulfonic acid ionic liquid as electrolyte
COMPLETEPAPER-2353307_Q	Endurance exercise training ameliorates insulin resistance and reticulum stress in adipose and hepatic tissue in obese rats
COMPLETEPAPER-2353454_Q	Mycobacterium chelonae cutaneous infection in a patient with mixed connective tissue disease
COMPLETEPAPER-2355584_Q	Early developmental exposure to high fructose intake in rats with NaCl stimulation causes cardiac damage
COMPLETEPAPER-2358064_Q	Equilibrium modeling of ion adsorption based on Poisson-Boltzmann equation
COMPLETEPAPER-2359568_Q	Milrinone Attenuates Arteriolar Vasoconstriction and Capillary Perfusion Deficits on Endotoxemic Hamsters
COMPLETEPAPER-2361970_Q	Cotton leaf gas exchange responses to irradiance and leaf aging
COMPLETEPAPER-2361971_Q	Cotton yield and fiber quality affected by row spacing and shading at different growth stages
COMPLETEPAPER-2364018_Q	Forty years of research on personality in software engineering: A mapping study
COMPLETEPAPER-2364207_Q	Diversity and composition of Arctiinae moth assemblages along elevational and spatial dimensions in Brazilian Atlantic Forest
COMPLETEPAPER-2372580_Q	Application of laser microdissection ICP-MS for High resolution elemental Mapping in mouse brain tissue: A comparative study with laser ablation ICP-MS
COMPLETEPAPER-2372914_Q	Evaluation of fumonisin exposure by determination of fumonisin B1 in human hair and in Brazilian corn products
COMPLETEPAPER-2378473_Q	In vitro determination of volatile compound development during starter culture-controlled fermentation of Cucurbitaceae cotyledons
COMPLETEPAPER-2378543_Q	The physicochemical properties of fibrous residues from the agro industry
COMPLETEPAPER-2381057_Q	The home range and multi-scale habitat selection of the threatened maned three-toed sloth (Bradypus torquatus)
COMPLETEPAPER-2382274_Q	Assessment of the genotoxic/clastogenic potential of coumarin derivative 6
COMPLETEPAPER-2382275_Q	In vivo evaluation of the genetic toxicity of rubus niveus Thunb
COMPLETEPAPER-2383982_Q	Nonionic organoclay: A -Swiss Army knife  for the adsorption of organic micro-pollutants?
COMPLETEPAPER-2383983_Q	Biopolymer nanocomposites based on poly(hydroxybutyrate- <i>co</i> -hydroxyvalerate) reinforced by a non-ionic organoclay
COMPLETEPAPER-2388553_Q	Bacterial communities in thermophilic H2-producing reactors investigated using 16S rRNA 454 pyrosequencing
COMPLETEPAPER-2392549_Q	Mathematical model of brain tumour with glia-neuron interactions and chemotherapy treatment
COMPLETEPAPER-2395727_Q	Raloxifene modulates regulators of osteoclastogenesis and angiogenesis in an oestrogen deficiency periapical lesion model
COMPLETEPAPER-2396603_Q	Wound healing genes and susceptibility to cutaneous leishmaniasis in Brazil: Role of COL1A1
COMPLETEPAPER-2399226_Q	Ticks and rickettsial infection in the wildlife of two regions of the Brazilian Amazon
COMPLETEPAPER-2399228_Q	Association patterns of ticks (Acari: Ixodida: Ixodidae
COMPLETEPAPER-2399403_Q	miRNA Expression in Control and FSHD Fetal Human Muscle Biopsies
COMPLETEPAPER-2400045_Q	Investigating dynamic conditional correlation between crude oil and fuels in non-linear framework: The financial and economic role of structural breaks
COMPLETEPAPER-2401001_Q	Nutrition Education Intervention for Women With Breast Cancer: Effect on Nutritional Factors and Oxidative Stress
COMPLETEPAPER-2403257_Q	Intranasal vaccination with leishmanial antigens protects golden hamster against Leishmania (Viannia) braziliensis infection
COMPLETEPAPER-2403891_Q	Micro-CT analysis of the rodent jaw bone micro-architecture: A systematic review
COMPLETEPAPER-2409007_Q	Chromosome number and nuclear DNA amount in Psidium spp
COMPLETEPAPER-2409008_Q	Functional repetitive sequences and fragile sites in chromosomes of Lolium perenne L
COMPLETEPAPER-2411030_Q	Optimization of Design and Performance of Solid-Liquid Separators: A Thickener Hydrocyclone
COMPLETEPAPER-2411964_Q	Influence of pH and temperature on the production of polygalacturonases by Aspergillus fumigatus
COMPLETEPAPER-2415194_Q	Identification of Staphylococcus aureus infection by aptamers directly radiolabeled with technetium-99m
COMPLETEPAPER-2418066_Q	Aire-dependent peripheral tissue antigen mRNAs in mTEC cells feature networking refractoriness to microRNA interaction
COMPLETEPAPER-2420955_Q	The effect of Spin-Orbit Coupling on Selenadiazolo- and Thiadiazolo- Fused 1
COMPLETEPAPER-2421896_Q	Effect on aggregation behavior of long-chain spacers of dicationic imidazolium-based ionic liquids in aqueous solution
COMPLETEPAPER-2426152_Q	A check list of plant species in the urban forestry of Fortaleza
COMPLETEPAPER-2429201_Q	Power system frequency estimation using morphological prediction of Clarke components
COMPLETEPAPER-2430354_Q	Effect of low-level laser therapy on the gene expression of collagen and vascular endothelial growth factor in a culture of fibroblast cells in mice
COMPLETEPAPER-2431168_Q	History of metal contamination in Lake Illawarra
COMPLETEPAPER-2431169_Q	An evaluation of the use of reptile dermal scutes as a non-invasive method to monitor mercury concentrations in the environment
COMPLETEPAPER-2433590_Q	Ion release and mechanical properties of calcium silicate and calcium hydroxide materials used for pulp capping
COMPLETEPAPER-2439128_Q	Species-level identification of staphylococci isolated from bovine mastitis in Brazil using partial 16S rRNA sequencing
COMPLETEPAPER-2439434_Q	Use of cryotubes for the cryopreservation of tambaqui fish semen (Colossoma macropomum)
COMPLETEPAPER-2445480_Q	Extraradicular Infection as the Cause of Persistent Symptoms: A Case Series
COMPLETEPAPER-2445481_Q	The Cracked Tooth: Histopathologic and Histobacteriologic Aspects
COMPLETEPAPER-2445907_Q	Is the rearfoot pattern the most frequently foot strike pattern among recreational shod distance runners?
COMPLETEPAPER-2461426_Q	Malassezia Intra-Specific Diversity and Potentially New Species in the Skin Microbiota from Brazilian Healthy Subjects and Seborrheic Dermatitis Patients
COMPLETEPAPER-2466053_Q	Combination of hyperthermia and photodynamic therapy on mesenchymal stem cell line treated with chloroaluminum phthalocyanine magnetic-nanoemulsion Journal of Magnetism and Magnetic Materials
COMPLETEPAPER-2468528_Q	Probing molecular ordering in the HCl-doped polyaniline with bulk and nanofiber morphology by their thermal behavior
COMPLETEPAPER-2470348_Q	Heterogeneous hyporheic zone dechlorination of a TCE groundwater plume discharging to an urban river reach
COMPLETEPAPER-2471805_Q	Detection and decay rates of prey and prey symbionts in the gut of a predator through metagenomics
COMPLETEPAPER-2472249_Q	Should phylogenetic and functional diversity metrics compose macroinvertebrate multimetric indices for stream biomonitoring?
COMPLETEPAPER-2474108_Q	Identification and chromosome mapping of repetitive elements in the Astyanax scabripinnis (Teleostei: Characidae) species complex
COMPLETEPAPER-2478793_Q	Influence of the chemical composition of smectites on the removal of ammonium ions from aquaculture effluents
COMPLETEPAPER-2480937_Q	Interactions of Bacillus thuringiensis bioinsecticides and the predatory stink bug Podisus nigrispinus to control Plutella xylostella
COMPLETEPAPER-2483102_Q	Protective effects of the flavonoid hesperidin methyl chalcone in inflammation and pain in mice: role of TRPV1
COMPLETEPAPER-2487646_Q	Significance of fingernail and toenail mercury concentrations as biomarkers for prenatal methylmercury exposure in relation to segmental hair mercury concentrations
COMPLETEPAPER-2488329_Q	Metabolite profiling of the oilseed crop Ricinus communis during early seed imbibition reveals a specific metabolic signature in response to temperature
COMPLETEPAPER-2491672_Q	Natural humic substances effects on the life history traits of Latonopsis australis SARS (1888) (Cladocera &#45; Crustacea)
COMPLETEPAPER-2491855_Q	Reliability-based design recommendations for sinusoidal-web beams subjected to lateral-torsional buckling
COMPLETEPAPER-2493543_Q	Structure and rheological properties of a xyloglucan extracted from Hymenaea courbaril var
COMPLETEPAPER-2493544_Q	Purified polysaccharides of Geoffroea spinosa barks have anticoagulant and antithrombotic activities devoid of hemorrhagic risks
COMPLETEPAPER-2497033_Q	Intimate partner violence after the diagnosis of sexually transmitted diseases
COMPLETEPAPER-2502346_Q	Optimal transient droop compensator and PID tuning for load frequency control in hydro power systems
COMPLETEPAPER-2503486_Q	Hydrogen production by reforming of acetic acid using La-Ni type perovskites partially substituted with Sm and Pr
COMPLETEPAPER-2503487_Q	Isomerization of n-hexane with Pt/Ni-based catalysts supported on Al-rich zeolite Beta and correlation with acidity and oxidation state of metal crystallites
COMPLETEPAPER-2503524_Q	Biological and physicochemical properties of bovine sodium caseinate hydrolysates obtained by a bacteria protease preparation
COMPLETEPAPER-2505505_Q	Re-evaluating the phylogeny of Sipuncula through transcriptomics
COMPLETEPAPER-2512450_Q	Effect of solution pH and influence of water hardness on caffeine adsorption onto activated carbons
COMPLETEPAPER-2515159_Q	Provenance of the Passo Feio complex
COMPLETEPAPER-2516850_Q	Hypotensive and vasorelaxant effects induced by the ethanolic extract of the Mimosa caesalpiniifolia Benth
COMPLETEPAPER-2521732_Q	Diversity of human papillomavirus in the anal canal of men: The HIM study
COMPLETEPAPER-2522834_Q	Antifungal activity and inhibition of fumonisin production by Rosmarinus officinalis L
COMPLETEPAPER-2522835_Q	Occurrence and estimative of aflatoxin M1 intake in UHT cow milk in Parana State
COMPLETEPAPER-2524755_Q	Evaluation of solder/substrate thermal conductance and wetting angle of Sn-0
COMPLETEPAPER-2529254_Q	Recycling Tires? Reversible Crosslinking of Poly(butadiene)
COMPLETEPAPER-2529255_Q	From monomers to polymers from renewable resources: recent advances
COMPLETEPAPER-2534143_Q	Environmental Risk Assessment (ERA) of diclofenac and ibuprofen: A public health perspective
COMPLETEPAPER-2540621_Q	Standardization of reflectance measurements in dispersed organic matter: Results of an exercise to improve interlaboratory agreement
COMPLETEPAPER-2541630_Q	Wave propagation in one-dimensional waveguides with slowly varying random spatially correlated variability
COMPLETEPAPER-2547734_Q	Robust classification with reject option using the self-organizing map
COMPLETEPAPER-2551979_Q	Enhancing the Buccal Mucosal Delivery of Peptide and Protein Therapeutics
COMPLETEPAPER-2554669_Q	Enhancement of the luminescence intensity by co-doping Mn2+ into Er3+ -doped SrAl2O4
COMPLETEPAPER-2565338_Q	Error modeling approach to improve time series forecasters
COMPLETEPAPER-2567142_Q	Synthesis and Biological Evaluation of &#945;-Aryl-&#945;-Tetralone Derivatives as Hepatitis C Virus Inhibitors
COMPLETEPAPER-2568937_Q	Effect of maternal vitamin A supplementation on retinol concentration in colostrum
COMPLETEPAPER-2578684_Q	Serum sodium shift in hyponatremic patients undergoing liver transplantation: a retrospective cohort study
COMPLETEPAPER-2579881_Q	Replacement of fishmeal by fish protein hydrolysate and biofloc in the diets of                            postlarvae
COMPLETEPAPER-2579882_Q	Sperm vitrification in the white shrimp Litopenaeus vannamei
COMPLETEPAPER-2583925_Q	Use of guidelines to improve the quality and transparency of reporting Oral Health Research
COMPLETEPAPER-2583926_Q	Estimated prevalence of erosive tooth wear in permanent teeth of children and adolescents: An epidemiological systematic review and meta-regression analysis
COMPLETEPAPER-2583927_Q	Genotoxic potential of 10% and 16% Carbamide Peroxide in dental bleaching
COMPLETEPAPER-2586397_Q	Analysis of Multiple Cytokine Polymorphisms in Individuals with Untreated Deep Carious Lesions Reveals IL1B (rs1143643) as a Susceptibility Factor for Periapical Lesion Development
COMPLETEPAPER-2586939_Q	Analysis of excessive deformations in tunnels for safety evaluation
COMPLETEPAPER-2588911_Q	Potential use of landfill biogas in urban bus fleet in the Brazilian states: A review
COMPLETEPAPER-2590943_Q	Relative importance of soil physico-chemical characteristics and plant species identity to the determination of soil microbial community structure
COMPLETEPAPER-2591163_Q	Energy recovery from agro-industrial wastewaters through biohydrogen production: Kinetic evaluation and technological feasibility
COMPLETEPAPER-2591164_Q	The use of the carbon/nitrogen ratio and specific organic loading rate as tools for improving biohydrogen production in fixed-bed reactors
COMPLETEPAPER-2591165_Q	Anaerobic digestion of vinasse from sugarcane ethanol production in Brazil: Challenges and perspectives
COMPLETEPAPER-2591166_Q	The Influence of the Buffering Capacity on the Production of Organic Acids and Alcohols from Wastewater in Anaerobic Reactor
COMPLETEPAPER-2591671_Q	n vivo evaluation of the genetic toxicity of Rubus niveus Thunb
COMPLETEPAPER-2591917_Q	How can an invasive grass affect fire behavior in a tropical savanna? A community and individual plant level approach
COMPLETEPAPER-2594780_Q	Formation control driven by cooperative object tracking
COMPLETEPAPER-2596100_Q	An overview on the potential of natural products as ureases inhibitors: A review
COMPLETEPAPER-2600981_Q	Venomics and antivenomics of Bothrops erythromelas from five geographic populations within the Caatinga ecoregion of northeastern Brazil
COMPLETEPAPER-2604584_Q	Crystallization toughening of a model glass-ceramic
COMPLETEPAPER-2607765_Q	Diversity of Lactic Acid Bacteria Isolated from Brazilian Water Buffalo Mozzarella Cheese
COMPLETEPAPER-2608144_Q	Solid Eu(III) complexes studied by positron annihilation
COMPLETEPAPER-2619098_Q	Genotoxic evaluation in two amphibian species from Brazilian subtropical wetlands
COMPLETEPAPER-2619991_Q	Thermal Diffusivity of Sandstone Using Photoacoustics
COMPLETEPAPER-2622633_Q	Investigating the therapeutic effects of LASSBio-596 in an innvivo model of cylindrospermopsin-induced lung injury
SPECIFIC_CHAPTER-2631158_Q	Breeding of Sugarcane
COMPLETEPAPER-2633580_Q	Mowat-Wilson syndrome: neurological and molecular study in seven patients
COMPLETEPAPER-2639810_Q	Development and in house validation of a new thermogravimetric method for water content analysis in soft brown sugar
COMPLETEPAPER-2646401_Q	A quantitative real-time reverse transcription PCR (qRT-PCR) assay to detect genome segment 9 of all 26 bluetongue virus serotypes
COMPLETEPAPER-2646434_Q	c-Src deactivation by the polyphenol 3-O-caffeoylquinic acid abrogates reactive oxygen species-mediated glutamate release from microglia and neuronal excitotoxicity
COMPLETEPAPER-2655040_Q	Key leaf traits indicative of photosynthetic plasticity in tropical tree species
COMPLETEPAPER-2655283_Q	Apical Extrusion of Debris in Flat-oval Root Canals afternUsing Different Instrumentation Systems
COMPLETEPAPER-2670882_Q	Free and hidden fumonisins in Brazilian raw maize samples
COMPLETEPAPER-2671154_Q	Semi-Synthesis of new glycosidic triazole derivatives of dihydrocucurbitacin B
COMPLETEPAPER-2679368_Q	Design of inhibitors of thymidylate kinase from Variola virus as new selective drugs against smallpox
COMPLETEPAPER-2680515_Q	Why small-scale fuel ethanol production in Brazil does not take off?
COMPLETEPAPER-2684283_Q	Probing the Topological Properties of Complex Networks Modeling Short Written Texts
COMPLETEPAPER-2686399_Q	Cooling of Cylindrical Vertical Tanks Submitted to Natural Internal Convection
COMPLETEPAPER-2694066_Q	Effects of lithium oxide on the crystallization kinetics of Na2O 2CaO 3SiO2 glass
COMPLETEPAPER-2701148_Q	Supplementation with sunflower seed increases circulating cholesterol concentrations and potentially impacts on the pregnancy rates in Bos indicus beef cattle
COMPLETEPAPER-2701149_Q	Modulation of periovulatory endocrine profiles in beef cows: consequences for endometrial glucose transporters and uterine fluid glucose levels
COMPLETEPAPER-2705321_Q	Absolute and specific enzymatic activities of sandy entisol from tropical dry forest
COMPLETEPAPER-2711581_Q	Spectral anisotropy of subtropical deciduous forest using MISR and MODIS data acquired under large seasonal variation in solar zenith angle
COMPLETEPAPER-2714398_Q	Morphometric variation in allopatric populations of Aegla platensis (Crustacea: Decapoda: Anomura): possible evidence for cryptic speciation
COMPLETEPAPER-2719820_Q	Clinics of Ocular Tuberculosis
COMPLETEPAPER-2750439_Q	Omentum for Mammary Disorders: A 30-Year Systematic Review
COMPLETEPAPER-2753428_Q	The use of coarser data is an effective strategy for biological assessments
COMPLETEPAPER-2753429_Q	Homogenization dynamics of the fish assemblages in Neotropical reservoirs: comparing the roles of introduced species and their vectors
COMPLETEPAPER-2769047_Q	Theoretical and experimental investigation of electron collisions with dimethyl sulfide
COMPLETEPAPER-2796952_Q	Recognition of Aspergillus fumigatus Hyphae by Human Plasmacytoid Dendritic Cells Is Mediated by Dectin-2 and Results in Formation of Extracellular Traps
COMPLETEPAPER-2797516_Q	Predicting productivity in tropical reservoirs: The roles of phytoplankton taxonomic and functional diversity
COMPLETEPAPER-2799484_Q	The Bone Marrow Endosteal Niche: How Far from the Surface?
COMPLETEPAPER-2801870_Q	Compaction of porous ices rich in water by swift heavy ions
COMPLETEPAPER-2813503_Q	Probucol mitigates streptozotocin-induced cognitive and biochemical changes in mice
COMPLETEPAPER-2813504_Q	Long-term and low-dose malathion exposure causes cognitive impairment in adult mice: evidence of hippocampal mitochondrial dysfunction
COMPLETEPAPER-2816554_Q	Dentine bond strength and antimicrobial activity evaluation of adhesive systems
COMPLETEPAPER-2819967_Q	It was not that long! : The effects of the in-store TV screen content and consumers emotions on consumer waiting perception
COMPLETEPAPER-2821251_Q	Mechanisms regulating apple cultivar susceptibility to bitter pit
COMPLETEPAPER-2823440_Q	A distributed beaconless routing protocol for real-time video dissemination in multimedia VANETs
COMPLETEPAPER-2824614_Q	Effects of an H3R Antagonist on the Animal Model of Autism Induced by Prenatal Exposure to Valproic Acid
COMPLETEPAPER-2826344_Q	The morphology-diet relationship and its role in the coexistence of two species of annual fishes
COMPLETEPAPER-2826346_Q	Development of a multimetric index based on aquatic macroinvertebrate communities to assess water quality of rice fields in southern Brazil
COMPLETEPAPER-2828165_Q	A Hybrid Method for the Probabilistic Maximal Covering Location-Allocation Problem
COMPLETEPAPER-2837382_Q	Effect of prebiotic ingredients on the rheological properties and microstructure of reduced-sodium and low-fat meat emulsions
COMPLETEPAPER-2852358_Q	Tumour but not stromal expression of <i>&#946;</i> 3 integrin is essential
COMPLETEPAPER-2868070_Q	Swallowing disorders in Parkinson's disease: impact of lingual pumping
COMPLETEPAPER-2876100_Q	A validated HPLC method for the analysis of herbal teas from three chemotypes of Brazilian Lippia alba
COMPLETEPAPER-2876507_Q	Trajectories of maternal depression and offspring psychopathology at 6 years: 2004 Pelotas cohort study
COMPLETEPAPER-2876509_Q	Depression among Brazilian adolescents: A cross-sectional population-based study
COMPLETEPAPER-2885878_Q	Fluid flow and conjugated heat transfer in arbitrarily shaped channels via single domain formulation and integral transforms
COMPLETEPAPER-2890656_Q	Determination of Lymphocytes Subsets Reference Ranges in Peripheral Blood of Healthy Adults by a Dual Platform Flow Cytometric Method
COMPLETEPAPER-2898934_Q	Rapid discrimination of klebsiella pneumoniae carbapenemase 2 - producing and non-producing klebsiella pneumoniae strains using near-infrared spectroscopy (NIRS) and multivariate analysis
COMPLETEPAPER-2900994_Q	Accumulation and toxic effects of microcystin in tilapia (Oreochromis niloticus) from an eutrophic Brazilian lagoon
COMPLETEPAPER-2902066_Q	Production of alkyl esters from macaw palm oil by a sequential hydrolysis/esterification process using heterogeneous biocatalysts: Optimization by response surface methodology
COMPLETEPAPER-2902903_Q	Dielectric and magnetic characterization of barium hexaferrite ceramics
COMPLETEPAPER-2904331_Q	Current perspective of the impact of smoking on the progression and treatment of periodontitis
COMPLETEPAPER-2912986_Q	Thermal stability of Na2O-FeO-Fe2O3-P2O5 glasses
COMPLETEPAPER-2915619_Q	Profiling Cocaine By ATR-FTIR
COMPLETEPAPER-2916863_Q	A bioactive film based on cashew gum polysaccharide for wound dressing applications
COMPLETEPAPER-2921902_Q	An explicit time-stepping technique for elastic waves under concepts of Green&#146;s functions computed locally by the FEM
COMPLETEPAPER-2932536_Q	Performance of aRochaa and aSanta Mariaa pears as affected by planting density
COMPLETEPAPER-2936640_Q	High surface area diamond-like carbon electrodes grown on vertically aligned carbon nanotubes
COMPLETEPAPER-2946672_Q	Antioxidants inhibit the inflammatory and apoptotic processes in an intermittent hypoxia model of sleep apnea
COMPLETEPAPER-2955439_Q	Aggregation and clay dispersion of an oxisol treated with swine and poultry manures
COMPLETEPAPER-2955748_Q	Electrochemical promotion of strong oxidants to degrade Acid Red 211: Effect of supporting electrolytes
COMPLETEPAPER-2957746_Q	Period-adding and spiral organization of the periodicity in a Hopfield neural network
COMPLETEPAPER-2959651_Q	Spectroscopic analysis and X-ray diffraction of trunk fossils from the Parnaiba Basin
COMPLETEPAPER-2962778_Q	Mathematical model of brain tumour with glia&#45;neuron interactions and chemotherapy treatment
COMPLETEPAPER-2968141_Q	A compact and stable design of FSS with radial slit circular elements using an iterative method
COMPLETEPAPER-2971819_Q	Comparison of frequency and time domain electromyography parameters in women with patellofemoral pain
COMPLETEPAPER-2980424_Q	Merging Resource Availability with Isotope Mixing Models: The Role of Neutral Interaction Assumptions
COMPLETEPAPER-2988770_Q	Sorption of norfloxacin in soils: Analytical method
COMPLETEPAPER-2990174_Q	Substrate biofortification in combination with foliar sprays of plant growth promoting bacteria and humic substances boosts production of organic tomatoes
COMPLETEPAPER-2995023_Q	Effect of chamfer geometry on the pressure drop of perforated plates with thin orifices
COMPLETEPAPER-2998625_Q	Folate-grafted boron nitride nanotubes: Possible exploitation in cancer therapy
COMPLETEPAPER-3000765_Q	A comparative study of the subjective well-being of parents and adolescents considering gender
COMPLETEPAPER-3006041_Q	Influence of sensory information on static balance in older patients with vestibular disorder
COMPLETEPAPER-3007795_Q	Fenton-like processes and adsorption using iron oxide-pillared clay with magnetic properties for organic compound mitigation
COMPLETEPAPER-3009408_Q	Functional annotation and biological interpretation of proteomics data
COMPLETEPAPER-3013130_Q	A Rosetta Stone for Nature s Benefits to People
COMPLETEPAPER-3036968_Q	Besouro: A framework for exploring compliance rules in automatic TDD behavior assessment
COMPLETEPAPER-3039455_Q	Analysis of the structural behavior of a membrane using digital image processing
COMPLETEPAPER-3042371_Q	Comment on 'Superspin Glass Mediated Giant Spontaneous Exchange Bias in a Nanocomposite of BiFeO3-Bi2Fe4O9'
COMPLETEPAPER-3042499_Q	Effects of bentonite on different cell types: A brief review
COMPLETEPAPER-3043384_Q	Management of agricultural research centers in Brazil: A DEA application using a dynamic GMM approach
COMPLETEPAPER-3046695_Q	Aspects of energetic substrate metabolism of in vitro and in vivo bovine embryos
COMPLETEPAPER-3070342_Q	Influence of loading frequency on the fatigue behaviour of coir fibre reinforced PP composite
COMPLETEPAPER-3080628_Q	Informality in developing economies: Regulation and fiscal policies
COMPLETEPAPER-3083378_Q	Enhanced Reduced Nicotinamide Adenine Dinucleotide electrocatalysis onto multi-walled carbon nanotubes-decorated gold nanoparticles and their use in hybrid biofuel cell
COMPLETEPAPER-3102584_Q	Comparative epidemiology of Colletotrichum species from mango in northeastern Brazil
COMPLETEPAPER-3108331_Q	Redox-responsive nanoreservoirs: The effect of different types of mesoporous silica on the controlled release of doxorubicin in solution and in vitro
COMPLETEPAPER-3112047_Q	Central mediators involved in the febrile response induced by polyinosinic-polycytidylic acid: Lack of involvement of endothelins and substance P
COMPLETEPAPER-3114657_Q	An integrated approach to the late stages of Neoproterozoic post-collisional magmatism from Southern Brazil: Structural geology
COMPLETEPAPER-3132278_Q	Phase Transitions in One-Dimensional Translation Invariant Systems: A Ruelle Operator Approach
COMPLETEPAPER-3151054_Q	Effect of the aqueous extract of Senecio biafrae (Oliv
COMPLETEPAPER-3166318_Q	High HIF-1&#945; expression genotypes in oral lichen planus
COMPLETEPAPER-3166824_Q	Temporal processes of soil water status in a sugarcane field under residue management
COMPLETEPAPER-3167267_Q	Lupus and leprosy: beyond the coincidence
COMPLETEPAPER-3168098_Q	Investigation of Eu3+ luminescence enhancement in LaOF powders codoped with Tb3+ and prepared by combustion synthesis
COMPLETEPAPER-3168099_Q	Facile fabrication of Eu3+-doped lanthanum oxyfluoride powders by combustion processes and temperature analysis of its fluorescence for thermal sensor application
COMPLETEPAPER-3170039_Q	Effects of pCramoll and rCramoll on peritoneal exudate cells infected and non-infected with S
COMPLETEPAPER-3170256_Q	Can organoleptic properties explain the differential use of medicinal plants? Evidence from Northeastern Brazil
COMPLETEPAPER-3180221_Q	Diphenyl Diselenide (PhSe)2 inhibits biofilm formation by Candida albicans
COMPLETEPAPER-3182593_Q	Vaccination using live attenuated Leishmania donovani centrin deleted parasites induce protection in dogs against Leishmania infantum
COMPLETEPAPER-3184660_Q	Spatiotemporal interpolation of discharge across a river network by using synthetic SWOT satellite data
COMPLETEPAPER-3199124_Q	A geometrically nonlinear FEM formulation for the analysis of fiber reinforced laminated plates and shells
COMPLETEPAPER-3205274_Q	Mechanisms of action of fluoridated acidic liquid dentifrices against dental caries
SPECIFIC_CHAPTER-3215191_Q	The use of pineapple leaf fibers (PALFs) as reinforcements in composites
COMPLETEPAPER-3223426_Q	Application of an oregano oil nanoemulsion to the control of foodborne bacteria on fresh lettuce
COMPLETEPAPER-3223507_Q	A successful case of Cushing's disease pregnancy treated with ketoconazole
COMPLETEPAPER-3228462_Q	Immunomodulatory properties and anti-apoptotic effects of zinc and melatonin in an experimental model of chronic Chagas disease
COMPLETEPAPER-3228463_Q	Immunoregulatory actions of melatonin and zinc during chronic                            infection
COMPLETEPAPER-3228464_Q	Endocrine and immune system interactions during pregnancy
COMPLETEPAPER-3234852_Q	A kinetic model for thermal cracking of waste cooking oil based on chemical lumps
COMPLETEPAPER-3264481_Q	Ontogenesis of the pseudomonomerous fruits of Acrocomia aculeata (Arecaceae): a new approach to the development of pyrenarium fruits
COMPLETEPAPER-3272602_Q	Levels and profiles of chlorinated and brominated contaminants in Southern Hemisphere humpback whales
COMPLETEPAPER-3276392_Q	Liquid-liquid extraction of succinic acid using a hollow fiber membrane contactor
COMPLETEPAPER-3289799_Q	Phytoplankton alpha diversity as an indicator of environmental changes in a neotropical floodplain
COMPLETEPAPER-3298084_Q	Simultaneous Co-Clustering and Learning to Address the Cold Start Problem in Recommender Systems
COMPLETEPAPER-3299658_Q	Developing a Sustainability Credit Score System
COMPLETEPAPER-3311370_Q	Glutathione peroxidases as redox sensor proteins in plant cells
COMPLETEPAPER-3318980_Q	Physical Forcing Mechanisms Controlling the Variability of Chlorophyll-a over the Royal-Charlotte and Abrolhos Banks-Eastern Brazilian Shelf
